path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/api/plugins/plugin-content-docs.mdx,Docs Markdown Features,2026-08-17T15:06:15.936883+00:00,False,1771,13,4,13,7.34,13,True,38,38,2086,1824,docs: fix grammar in slug front matter descriptions (#12261),80,24,46.75,136.23,0.02
website/docs/api/plugins/plugin-content-pages.mdx,Markdown Page,2026-08-17T15:06:15.936883+00:00,False,744,10,4,9,12.1,5,False,38,38,2086,1684,docs: fix grammar in slug front matter descriptions (#12261),26,11,44.47,74.4,0.02
website/docs/api/plugins/plugin-css-cascade-layers.mdx,📦 plugin-css-cascade-layers,2026-08-17T15:06:15.936883+00:00,False,305,6,4,5,16.39,2,False,451,163,451,451,feat(theme): new CSS cascade layers plugin + built-in `v4.useCssCascadeLayers` future flag (#11142),1,1,46.11,50.83,1.0
website/docs/api/plugins/plugin-debug.mdx,📦 plugin-debug,2026-08-17T15:06:15.936883+00:00,False,256,4,3,8,31.25,3,False,547,163,2086,1693,docs: disable `plugin-debug` in production by default (#10928),12,5,49.87,64.0,0.26
website/docs/api/plugins/plugin-google-gtag.mdx,📦 plugin-google-gtag,2026-08-17T15:06:15.936883+00:00,False,201,4,3,4,19.9,1,False,753,163,2086,1741,docs(plugin-google-gtag): replace the broken Google Developers links with valid ones (#10338),16,6,47.5,50.25,0.36
website/docs/api/plugins/plugin-google-tag-manager.mdx,📦 plugin-google-tag-manager,2026-08-17T15:06:15.936883+00:00,False,161,4,3,4,24.84,2,False,947,163,2086,1326,fix(core): various broken anchor link fixes (#9732),16,6,44.96,40.25,0.45
website/docs/api/plugins/plugin-ideal-image.mdx,📦 plugin-ideal-image,2026-08-17T15:06:15.936883+00:00,False,407,5,3,7,17.2,0,False,66,66,2588,1696,docs: document that plugin-ideal-image changes imported image types (#12130),16,9,41.55,81.4,0.03
website/docs/api/plugins/plugin-pwa.mdx,📦 plugin-pwa,2026-08-17T15:06:15.936883+00:00,False,1038,15,3,6,5.78,1,False,1038,163,2086,2086,feat(core): support TypeScript + ESM configuration (#9317),18,6,57.13,69.2,0.5
website/docs/api/plugins/plugin-rsdoctor.mdx,📦 plugin-rsdoctor,2026-08-17T15:06:15.936883+00:00,False,95,4,3,4,42.11,0,False,668,163,668,668,feat: new Rsdoctor official plugin (#10588),1,1,,23.75,1.0
website/docs/api/plugins/plugin-sitemap.mdx,📦 plugin-sitemap,2026-08-17T15:06:15.936883+00:00,False,366,6,4,5,13.66,4,False,838,163,2086,1634,feat: add createSitemapItems hook (#10083),17,6,51.08,61.0,0.4
website/docs/api/plugins/plugin-svgr.mdx,📦 plugin-svgr,2026-08-17T15:06:15.936883+00:00,False,92,4,3,4,43.48,1,False,625,163,625,625,feat(svgr): create new Docusaurus SVGR plugin (#10677),1,1,,23.0,1.0
